id,empleado_id,cliente_id,fecha,hora,fecha_cerrado,hora_cerrado,serie,forma_pago_id,cuenta,subtotal,iva,total,facturado,cancelado
80000,1520,14237,06/06/2022,10:13:51,06/06/2022,10:16:49,NDPLI023ORK,1,,480,76.8,556.8,SI,NO
80001,1520,13831,06/06/2022,10:18:23,06/06/2022,10:19:31,NDPLI0272IK,5,9734,65.44,10.46,75.9,NO,NO
80002,1520,14099,06/06/2022,10:23:58,06/06/2022,10:24:51,NDPLI031T7O,5,9896,56.9,9.1,66,NO,NO
80003,1571,14047,06/06/2022,10:24:56,06/06/2022,10:25:51,NDPKA030154,1,,295.17,47.22,342.39,SI,NO
80004,1571,14092,06/06/2022,10:27:05,06/06/2022,10:27:20,NDPKA027SNI,1,,76.13,12.18,88.31,NO,NO
80005,1571,14304,06/06/2022,10:30:21,06/06/2022,10:30:34,NDPKA019VW7,1,,76.72,12.28,89,NO,NO
80006,1571,14305,06/06/2022,10:32:03,06/06/2022,10:32:24,NDPKA02137A,1,,84.14,13.46,97.6,NO,NO
80007,1571,14308,06/06/2022,10:36:21,06/06/2022,10:36:49,NDPKA025XT4,1,,60.17,9.63,69.8,NO,NO
80008,1571,14320,06/06/2022,10:37:14,06/06/2022,10:37:55,NDPKA0282XU,1,,89.74,14.36,104.1,NO,NO
80009,1520,14457,06/06/2022,10:39:18,06/06/2022,10:39:30,NDPLI0346N2,1,,36.98,5.92,42.9,NO,NO
80010,1571,23406,06/06/2022,10:42:00,06/06/2022,10:43:02,NDPKA019OQB,1,,289.75,46.35,336.1,NO,NO
80011,1571,14422,06/06/2022,10:44:14,06/06/2022,10:45:11,NDPKA026LD4,1,,116.81,18.69,135.5,NO,NO
80012,1520,23410,06/06/2022,10:47:53,06/06/2022,10:48:13,NDPLI032E80,1,,16.81,2.69,19.5,NO,NO
80013,1520,14472,06/06/2022,10:53:02,06/06/2022,10:53:34,NDPLI0230ND,1,,142.68,22.82,165.5,NO,NO
80014,1520,23419,06/06/2022,10:55:00,06/06/2022,10:55:43,NDPLI023O8I,1,,256.56,41.05,297.61,NO,NO
80015,1520,23422,06/06/2022,10:56:01,06/06/2022,10:56:20,NDPLI0250QY,1,,36.2,5.79,41.99,NO,NO
80016,1571,15054,06/06/2022,10:59:25,06/06/2022,10:59:38,NDPKA034OY5,1,,77.16,12.35,89.51,NO,NO
